timestamp,s1_c1_y,s1_c2_y,s2_c1_y,s2_c2_y,s3_c1_y,s3_c2_y,s4_c1_y,s4_c2_y,s5_c1_y,s5_c2_y,s6_c1_y,s6_c2_y
-190,0,68,0,68,0,68,0,67.1133,0,68,0,68
-189,0,68,0,68,0,68,0,66.9783,0,68,0,68
-188,0,68,0,68,0,68,0,66.8333,0,68,0,68
-187,0,68,0,68,0,68,0,66.6783,0,68,0,68
-186,0,68,0,68,0,68,0,66.5133,0,68,0,68
-185,0,68,0,68,0,68,0,66.3383,0,68,0,68
-184,0,68,0,68,0,68,0,66.1533,0,68,0,68
-183,0,68,0,68,0,68,0,65.9583,0,68,0,68
-182,0,68,0,68,0,68,0,65.7533,0,68,0,68
-181,0,68,0,68,0,68,0,65.5383,0,68,0,68
-180,0,68,0,68,0,68,0,65.3133,0,68,0,68
-179,0,68,0,68,0,68,0,65.0783,0,68,0,68
-178,0,68,0,68,0,68,0,64.8333,0,68,0,68
-177,0,68,0,68,0,68,0,64.5785,0,68,0,68
-176,0,68,0,68,0,68,0,64.3147,0,68,0,68
-175,0,68,0,68,0,68,0,64.0428,0,68,0,68
-174,0,68,0,68,0,68,0,63.764,0,68,0,68
-173,0,68,0,68,0,68,0,63.4792,0,68,0,68
-172,0,68,0,68,0,68,0,63.1893,0,68,0,68
-171,0,68,0,68,0,68,0,62.8955,0,68,0,68
-170,0,68,0,68,0,68,0,62.5987,0,68,0,68
-169,0,68,0,68,0,68,0,62.2998,0,68,0,68
-168,0,68,0,68,0,68,0,62,0,68,0,68
-167,0,68,0,68,0,68,0,61.7,0,68,0,68
-166,0,68,0,68,0,68,0,61.4,0,68,0,68
-165,0,68,0,68,0,68,0,61.1,0,68,0,68
-164,0,68,0,68,0,68,0,60.8,0,68,0,68
-163,0,68,0,68,0,68,0,60.5,0,68,0,68
-162,0,68,0,68,0,68,0,60.2,0,68,0,68
-161,0,68,0,68,0,68,0,59.9,0,68,0,68
-160,0,68,0,68,0,68,0,59.6,0,68,0,68
-159,0,68,0,68,0,68,0,59.3,0,68,0,68
-158,0,68,0,68,0,68,0,59,0,68,0,68
-157,0,68,0,68,0,68,0,58.7,0,68,0,68
-156,0,68,0,68,0,68,0,58.4,0,68,0,68
-155,0,68,0,68,0,68,0,58.1,0,68,0,68
-154,0,68,0,68,0,68,0,57.8,0,68,0,68
-153,0,68,0,68,0,68,0,57.5,0,68,0,68
-152,0,68,0,68,0,68,0,57.2,0,68,0,68
-151,0,68,0,68,0,68,0,56.9,0,68,0,68
-150,0,68,0,68,0,68,0,56.6,0,68,0,68
-149,0,68,0,68,0,68,0,56.3,0,68,0,68
-148,0,68,0,68,0,68,0,56,0,68,0,68
-147,0,68,0,68,0,68,0,55.7,0,68,0,68
-146,0,68,0,67.9998,0,68,0,55.4,0,68,0,68
-145,0,68,0,67.9987,0,68,0,55.1,0,68,0,68
-144,0,68,0,67.9955,0,68,0,54.8,0,68,0,68
-143,0,68,0,67.9893,0,68,0,54.5,0,68,0,68
-142,0,68,0,67.9792,0,68,0,54.2,0,68,0,68
-141,0,68,0,67.964,0,68,0,53.9,0,68,0,68
-140,0,68,0,67.9428,0,68,0,53.6,0,68,0,68
-139,0,68,0,67.9147,0,68,0,53.3,0,68,0,68
-138,0,68,0,67.8785,0,68,0,53,0,68,0,68
-137,0,68,0,67.8333,0,68,0,52.7,0,68,0,68
-136,0,68,0,67.7783,0,68,0,52.4,0,68,0,68
-135,0,68,0,67.7133,0,68,0,52.1,0,68,0,68
-134,0,68,0,67.6383,0,68,0,51.8,0,68,0,68
-133,0,68,0,67.5533,0,68,0,51.5,0,68,0,68
-132,0,68,0,67.4583,0,68,0,51.2,0,68,0,68
-131,0,68,0,67.3533,0,68,0,50.9,0,68,0,68
-130,0,68,0,67.2383,0,68,0,50.6,0,68,0,68
-129,0,68,0,67.1133,0,68,0,50.3,0,68,0,68
-128,0,68,0,66.9783,0,68,0,50,0,68,0,68
-127,0,68,0,66.8333,0,68,0,49.7,0,68,0,68
-126,0,68,0,66.6783,0,68,0,49.4,0,68,0,68
-125,0,68,0,66.5133,0,68,0,49.1,0,68,0,68
-124,0,68,0,66.3383,0,68,0,48.8,0,68,0,68
-123,0,68,0,66.1533,0,68,0,48.5,0,68,0,68
-122,0,68,0,65.9583,0,68,0,48.2,0,68,0,68
-121,0,68,0,65.7533,0,68,0,47.9,0,68,0,68
-120,0,68,0,65.5383,0,68,0,47.6,0,68,0,68
-119,0,68,0,65.3133,0,68,0,47.3,0,67.9998,0,68
-118,0,68,0,65.0783,0,68,0,47,0,67.9987,0,68
-117,0,68,0,64.8333,0,68,0,46.7,0,67.9955,0,68
-116,0,68,0,64.5785,0,68,0,46.4,0,67.9893,0,68
-115,0,68,0,64.3147,0,68,0,46.1,0,67.9792,0,68
-114,0,68,0,64.0428,0,68,0,45.8,0,67.964,0,68
-113,0,68,0,63.764,0,68,0,45.5,0,67.9428,0,68
-112,0,68,0,63.4792,0,68,0,45.2,0,67.9147,0,68
-111,0,68,0,63.1893,0,68,0,44.9,0,67.8785,0,68
-110,0,68,0,62.8955,0,68,0,44.6,0,67.8333,0,68
-109,0,68,0,62.5987,0,68,0,44.3,0,67.7783,0,68
-108,0,68,0,62.2998,0,68,0,44,0,67.7133,0,68
-107,0,68,0,62,0,68,0,43.7,0,67.6383,0,68
-106,0,68,0,61.7,0,68,0,43.4,0,67.5533,0,68
-105,0,68,0,61.4,0,68,0,43.1,0,67.4583,0,68
-104,0,68,0,61.1,0,68,0,42.8,0,67.3533,0,68
-103,0,68,0,60.8,0,68,0,42.5,0,67.2383,0,67.9998
-102,0,68,0,60.5,0,68,0,42.2,0,67.1133,0,67.9987
-101,0,68,0,60.2,0,68,0,41.9,0,66.9783,0,67.9955
-100,0,68,0,59.9,0,68,0,41.6,0,66.8333,0,67.9893
-99,0,68,0,59.6,0,68,0,41.3,0,66.6783,0,67.9792
-98,0,68,0,59.3,0,68,0,41,0,66.5133,0,67.964
-97,0,68,0,59,0,68,0,40.7,0,66.3383,0,67.9428
-96,0,68,0,58.7,0,68,0,40.4,0,66.1533,0,67.9147
-95,0,68,0,58.4,0,68,0,40.1,0,65.9583,0,67.8785
-94,0,68,0,58.1,0,68,0,39.8,0,65.7533,0,67.8333
-93,0,68,0,57.8,0,68,0,39.5,0,65.5383,0,67.7783
-92,0,68,0,57.5,0,68,0,39.2,0,65.3133,0,67.7133
-91,0,67.9998,0,57.2,0,68,0,38.9,0,65.0783,0,67.6383
-90,0,67.9987,0,56.9,0,68,0,38.6,0,64.8333,0,67.5533
-89,0,67.9955,0,56.6,0,68,0,38.3,0,64.5785,0,67.4583
-88,0,67.9893,0,56.3,0,68,0,38,0,64.3147,0,67.3533
-87,0,67.9792,0,56,0,68,0,37.7,0,64.0428,0,67.2383
-86,0,67.964,0,55.7,0,68,0,37.4,0,63.764,0,67.1133
